id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,7.4307297e-35,1.56196e-31,0.0,9.9286034e-26,3.2050665e-32,4.1296935e-34,5.3791656e-30,2.7130667e-33,3.0487907e-32,8.2713025e-32,2.2842555e-34,0.0,0.0,0.0,2.15532e-25,2.0685099e-32,6.405405e-25,1.1069839e-37,2.9452505e-35,2.8146905e-35,1.8961697e-29,1.174955e-34,7.37542e-24,1.4745434e-36,8.1714466e-32,5.926522e-31,7.7406345e-27,2.3460704e-29,8.038304e-28,1.8689568e-32,0.0,3.5328244e-20,2.0115021e-25,2.8824007e-24,1.067258e-25,1.6378623e-32,2.2469394e-25,2.9880202e-32,2.707638e-26,1.532105e-24,2.3161288e-30,6.6781844e-29,1.4005862e-23,5.8440785e-33,3.8157634e-32,2.2657204e-25,1.0434965e-20,9.6238785e-31,8.331544e-37,7.2420747e-38,4.450109e-28,1.0,7.315806e-35,1.6016974e-33,1.3499439e-32,5.608779e-26,2.2827369e-29,6.746824e-32,1.9301742e-33,1.0920863e-28,8.257878e-23,1.3765614e-28,1.8997154e-31,1.2128945e-35,1.5350176e-25,0.0,8.9556116e-29,7.3009116e-37,8.3496326e-33,1.01662504e-35,1.3220287e-37,9.665411e-32,8.0453185e-23,6.348965e-33,7.963236e-25,5.2082356e-24,7.1804865e-37,4.6061885e-23,4.106062e-22,1.3674773e-33,1.740835e-27,3.6697035e-28,6.0092565e-29,5.5587076e-24,2.0002097e-16,1.0739492e-37,0.0,2.6999403e-36,9.2180587e-23,1.4227916e-34,2.1103465e-24,1.4226738e-32,1.5501949e-31,7.5120467e-34,1.5489859e-35,5.9920386e-38,0.0,5.911319e-26,0.0
7,9.790134e-24,2.2459477e-23,7.88981e-20,6.0694035e-16,3.4658003e-21,8.3905493e-22,2.0759823e-15,8.858772e-22,4.0357473e-22,1.3775914e-20,7.819197e-33,9.814686e-27,9.858368e-26,4.3504107e-26,9.885457e-16,7.7247625e-20,8.455248e-25,4.2538235e-16,1.2334919e-25,6.3184493e-18,3.002793e-26,1.4393008e-25,9.069717e-22,1.120788e-24,1.7825055e-19,1.0827677e-24,2.3294796e-17,9.208297e-21,2.8062374e-16,6.4481266e-28,6.92595e-24,1.3080266e-24,1.6578619e-20,4.177793e-22,7.569124e-17,2.240486e-25,2.9131733e-14,1.7213893e-17,6.940253e-18,6.378667e-14,2.5111147e-15,3.420859e-17,4.7264616e-15,8.73806e-19,1.0810962e-24,1.9737042e-16,3.1084343e-26,9.53126e-09,2.1805944e-24,1.4886321e-30,1.0,9.161832e-22,1.4257257e-19,1.4344035e-21,9.241178e-18,3.632346e-15,6.930715e-22,2.1897976e-16,2.3013527e-13,2.0725301e-17,2.5805076e-16,7.4430956e-21,4.63335e-21,1.0628135e-17,2.0228707e-22,2.6297055e-25,4.3938017e-21,1.2352602e-21,6.401596e-17,1.2305983e-15,5.29675e-26,8.5439616e-24,2.0015775e-22,2.3621262e-22,1.4632832e-25,1.2068451e-18,5.75925e-14,2.1448386e-17,5.293903e-18,1.3696641e-19,1.2401434e-19,1.2911432e-14,5.7053293e-13,1.4946559e-14,2.2811503e-16,9.2014645e-18,1.1160647e-17,3.166535e-14,5.819231e-25,3.5270577e-22,6.200948e-17,9.607485e-23,7.245684e-26,4.9633086e-32,8.971395e-17,3.6347454e-22,8.765044e-17,2.5886e-25,3.5049957e-21
9,2.1856388e-11,1.0,3.4893593e-14,6.3592454e-17,9.4506215e-11,4.8486927e-14,1.4311714e-16,2.053447e-09,9.810682e-12,2.1041948e-11,8.109576e-20,7.1742634e-13,1.9732525e-16,1.058143e-21,1.2803619e-15,3.8751325e-15,3.535626e-14,2.4798279e-20,4.6180453e-16,7.944815e-11,4.5140916e-19,2.7723575e-17,2.3391097e-21,7.35825e-24,6.320344e-21,3.9620904e-19,2.3169975e-09,3.7197534e-27,2.3037185e-18,8.76297e-25,9.5251e-20,1.7641427e-23,1.24953275e-17,8.0429765e-18,1.1591618e-23,1.4914828e-11,1.193393e-21,1.8752546e-18,1.0851309e-20,3.204628e-16,1.6076904e-18,1.4458771e-17,6.8690627e-17,5.635362e-22,7.5401364e-16,1.01328505e-25,1.0626301e-19,8.4465046e-19,4.410137e-15,3.069895e-22,5.634631e-22,9.2707085e-23,1.0098715e-22,1.1747484e-20,8.6863276e-16,2.1974847e-19,1.519268e-14,1.1132264e-21,6.208385e-23,3.4641762e-20,1.386257e-14,1.7985608e-22,1.1992012e-23,2.7308119e-18,3.169825e-20,1.5969051e-22,1.8667053e-17,1.0256998e-23,1.4611092e-23,1.2833562e-20,4.5194822e-20,1.9731396e-16,9.116837e-19,3.1299288e-15,5.112134e-18,2.5973661e-12,8.105714e-19,1.5033325e-15,5.792216e-16,3.814653e-27,1.9015704e-17,1.116203e-21,3.3672438e-18,2.0335275e-19,5.6464066e-20,1.8176671e-10,1.241374e-19,5.747076e-12,6.0331464e-21,3.8096114e-17,3.4197632e-17,2.990057e-20,6.231895e-17,3.4389945e-24,1.9236544e-18,8.803936e-20,1.8313258e-25,4.978317e-21,2.6963584e-10
12,2.7753757e-22,4.067456e-13,4.570333e-19,3.355852e-20,2.6265745e-19,3.9172828e-22,4.22935e-12,1.6927305e-17,1.84456e-20,2.0358408e-18,2.8940965e-34,1.2608124e-18,5.9382107e-19,8.3828805e-19,3.8310327e-17,8.931274e-16,1.4341174e-30,3.2724593e-13,3.9084368e-27,0.99999964,5.696847e-24,1.1502487e-26,8.605564e-21,1.2376532e-25,5.489682e-20,2.8293201e-27,1.0464195e-17,3.495534e-25,6.0770775e-21,2.6644955e-22,1.3400633e-22,3.5192256e-27,1.3589647e-17,2.5853365e-22,1.238016e-19,6.6190005e-25,1.7010566e-15,1.7775695e-14,6.027558e-20,1.3099946e-15,2.8782661e-18,3.545947e-20,2.9673785e-18,6.9791737e-25,7.014871e-22,6.274692e-23,1.4617286e-29,3.5128602e-07,1.224169e-23,5.633354e-32,1.07873386e-19,2.1551208e-26,3.1555977e-21,1.7452417e-28,1.7184442e-23,5.8407335e-18,2.9572433e-25,3.8775397e-16,2.645757e-15,3.1842475e-19,2.174325e-14,1.5790901e-28,1.3990539e-22,1.6408313e-18,7.0260547e-25,9.0097283e-26,8.153322e-17,1.7188034e-17,9.430286e-23,8.615808e-22,1.0528187e-23,4.8417773e-22,2.031777e-24,5.058319e-19,1.05753805e-27,2.6817733e-19,9.508683e-21,6.334285e-16,3.7576326e-19,6.5395826e-20,1.4422251e-16,1.0562676e-13,6.3448296e-12,5.2508125e-21,2.201654e-19,1.4730127e-11,4.1228765e-19,6.5643373e-13,1.7231521e-29,1.1044785e-21,4.2846346e-16,2.911465e-23,9.082252e-21,5.8286252e-33,2.109287e-13,7.321346e-16,1.472221e-22,2.9222936e-29,6.4692975e-14
13,3.1526768e-20,4.3090874e-18,5.6506402e-24,1.3044814e-20,3.0179242e-21,5.3329454e-24,9.274941e-18,6.4799835e-21,1.8941632e-18,9.447983e-20,1.1390504e-24,3.900267e-13,2.1386364e-18,8.675369e-23,1.0,1.0198612e-19,9.4687035e-14,4.6993675e-23,4.1198773e-18,8.991253e-20,2.8460462e-19,4.0130072e-24,5.348165e-16,4.201733e-23,1.8082094e-18,8.8909976e-23,1.4866087e-08,1.00801406e-19,3.4516167e-21,3.878933e-23,3.4683687e-27,6.0239125e-25,2.4013364e-24,4.8158014e-24,1.4578913e-23,9.764121e-20,1.9253585e-17,1.7928146e-21,9.380191e-18,4.0512066e-20,5.7456166e-20,5.863749e-19,1.9694207e-20,8.0565263e-16,2.9704285e-24,3.9062997e-23,4.8272627e-23,2.4145733e-16,4.556728e-16,2.4299014e-17,5.2193017e-21,5.7212274e-21,4.8910845e-22,2.1221765e-21,1.5789879e-21,2.4754695e-21,2.3275573e-20,1.3322222e-18,6.970387e-20,5.5780966e-18,2.0277487e-19,8.721904e-20,1.2929678e-20,7.979667e-15,2.9312159e-21,6.2760217e-27,1.1384754e-19,9.617955e-19,1.00895505e-22,5.259698e-20,1.1078504e-21,3.4222312e-16,4.7985894e-21,3.1653315e-19,8.007028e-20,2.6684904e-17,1.2068209e-20,4.3168268e-15,7.9361757e-20,2.463421e-21,3.511232e-21,5.216592e-22,8.3084636e-16,1.5984389e-17,4.5492354e-19,9.8652074e-20,1.1593438e-22,1.3560076e-18,1.4187301e-22,5.606857e-17,4.6704784e-19,2.1900065e-16,1.5992042e-21,2.804038e-20,4.136166e-15,3.186722e-11,1.6738775e-18,6.0471906e-17,7.802194e-23
16,1.3092187e-11,2.1032469e-16,2.8292457e-16,0.99999833,2.5845101e-18,2.5199721e-19,6.916608e-12,4.431672e-12,7.875259e-16,1.3983859e-21,4.2266785e-14,6.920565e-20,3.146344e-10,1.303861e-22,6.052666e-12,3.5737177e-17,1.22492785e-17,3.1833524e-14,1.3467245e-13,4.7274613e-16,4.571659e-16,6.7651074e-18,4.3122274e-15,9.7431194e-20,3.4097378e-11,4.3386728e-17,3.1885818e-12,8.689647e-19,9.987989e-13,6.561933e-22,2.2733392e-14,8.327206e-15,6.1833676e-12,2.1284161e-13,1.1946233e-13,6.941966e-17,4.556875e-13,1.5397307e-13,1.9829399e-14,4.2382677e-12,5.5784616e-10,1.4882566e-09,2.4302428e-15,1.2449239e-06,4.5867992e-18,1.8968487e-08,5.7090482e-15,5.4853107e-16,8.821824e-16,1.0994984e-16,1.6610943e-12,1.8904371e-16,5.2233304e-08,1.04270205e-14,3.0945164e-18,2.3183703e-15,5.528918e-18,4.097507e-13,8.713414e-08,2.3385508e-15,2.2954663e-09,1.5048195e-18,6.0217252e-12,1.6773335e-17,1.8256088e-19,1.6977509e-12,9.031673e-18,1.0875058e-16,7.1374547e-13,5.2623322e-11,7.5967324e-18,4.516927e-11,5.84634e-19,2.7847546e-13,2.4496045e-21,1.2491723e-11,1.1960329e-16,5.5177857e-13,2.5137206e-20,1.5211466e-11,1.4739133e-18,7.42369e-09,1.9594775e-12,3.8265138e-10,1.61295e-13,9.434767e-09,2.3419838e-07,5.28154e-14,2.2149176e-20,1.437011e-13,9.514469e-11,7.229058e-13,3.8698927e-17,1.7909559e-17,1.3306123e-07,1.2848066e-16,7.8074187e-16,2.3342038e-13,4.575934e-16
19,1.016006e-10,4.688155e-17,2.760571e-16,1.0,3.75667e-21,4.7747993e-20,3.978061e-15,1.1552019e-16,7.513455e-18,1.1844803e-22,1.00979914e-13,3.170074e-23,1.7898578e-11,1.2578827e-25,6.0544124e-18,1.0143561e-18,1.3820096e-17,3.0235536e-17,1.7190222e-15,1.7833506e-17,1.4083316e-18,1.8896246e-17,8.796051e-19,2.686041e-21,3.7727244e-14,6.366132e-19,1.1793132e-15,4.080719e-22,3.1973048e-14,4.4075773e-24,1.2723962e-15,3.3995799e-15,1.1380794e-13,1.7079486e-16,5.896957e-16,2.4005834e-18,2.879883e-17,9.749969e-14,4.234991e-17,2.4096925e-12,6.0123034e-15,3.392132e-11,1.4303364e-16,4.954195e-12,6.6135493e-18,6.702254e-13,1.2593528e-16,3.3081546e-18,3.3122839e-18,1.976125e-21,2.7434215e-13,4.1029072e-18,6.4995956e-12,6.1164694e-16,3.591968e-18,4.46517e-15,5.7454253e-18,2.0758761e-18,5.7194314e-12,3.9519057e-17,9.283368e-10,3.370556e-20,3.491989e-18,2.8625062e-21,3.2515764e-19,1.0996157e-12,1.5783572e-19,2.1824606e-22,2.249971e-14,4.816131e-13,7.23689e-21,2.4727966e-15,1.0160397e-20,5.1280185e-16,2.9112673e-22,7.4247216e-13,2.7475423e-17,1.941846e-15,4.639503e-22,3.5780535e-14,2.2602713e-19,3.6475462e-10,2.9818503e-16,5.5568457e-15,1.490437e-14,1.7328e-10,2.050438e-12,4.4149138e-13,1.4122606e-23,3.4296132e-17,1.9891361e-11,6.876613e-17,5.659607e-19,7.880903e-21,1.1763879e-08,1.2298812e-21,1.1601601e-18,4.2457661e-16,1.1772557e-13
23,6.316643e-14,1.1956743e-09,2.6249313e-13,6.136198e-11,2.2349457e-14,1.702074e-07,6.244681e-11,2.2551737e-11,8.791398e-21,9.179809e-12,2.0183963e-22,6.724603e-12,3.7378768e-15,8.0537034e-19,4.473977e-15,1.0200821e-06,5.2131146e-17,1.7802881e-14,3.7730452e-12,4.3759115e-14,3.289465e-16,1.1140604e-15,3.3498836e-11,1.9344863e-11,8.632116e-10,1.285282e-16,6.1011144e-12,2.5904235e-17,0.9999982,7.4570526e-13,3.345127e-11,3.9205811e-22,3.3495837e-18,1.12365985e-14,1.0563381e-14,1.4311474e-08,2.851003e-14,2.3349074e-09,2.1005799e-13,8.8160756e-11,9.825872e-19,5.3797397e-19,2.1048474e-09,9.751021e-16,7.074028e-16,2.577577e-19,6.517969e-16,1.5237403e-14,1.5569787e-15,1.075774e-18,9.649821e-11,1.8397965e-16,2.8854368e-13,2.885749e-14,4.9278852e-11,2.9999165e-09,1.3252066e-08,9.654648e-14,1.8027532e-16,2.7035791e-17,6.051056e-10,7.5926475e-14,5.2703262e-15,1.930134e-18,5.935363e-14,1.4095036e-14,3.3109317e-11,4.6375596e-17,1.0216092e-16,7.105189e-11,9.650719e-12,1.0657333e-12,2.5532633e-15,9.499115e-10,2.4296073e-19,2.420507e-13,1.8176312e-08,1.3980701e-11,5.7587805e-17,1.0209242e-15,3.9818542e-07,2.1362174e-12,4.3002287e-18,3.1480596e-18,3.1088138e-15,4.7331833e-15,3.3100378e-13,1.8323789e-07,7.819194e-15,2.736775e-16,5.7499376e-16,4.735332e-15,1.2523484e-13,1.5882318e-16,2.2293322e-16,9.229818e-18,2.2672245e-14,1.4956162e-19,9.818583e-12
24,3.7897596e-14,2.0493995e-18,1.2686866e-18,3.6995202e-18,1.8711583e-20,1.2076505e-19,9.013455e-16,1.2895057e-19,2.6887869e-11,3.400794e-18,5.195484e-21,6.229578e-28,3.613589e-24,1.4094545e-26,1.1272912e-19,2.7905594e-21,1.3462767e-14,9.527217e-18,7.89733e-22,1.5485007e-21,9.392983e-16,2.6542071e-24,6.4236624e-24,2.7053915e-23,1.1024994e-23,3.547632e-24,3.0113885e-16,1.3566374e-20,2.2604025e-25,4.8457232e-26,3.152757e-30,3.2917825e-11,1.7289963e-18,1.05066834e-16,5.9159706e-17,1.678542e-22,1.3214408e-19,2.3270104e-17,3.1528996e-16,3.0088437e-13,7.872073e-20,4.890276e-17,1.1219817e-16,2.3597485e-22,4.2781458e-19,1.2822766e-17,5.910722e-22,9.8942044e-17,5.080486e-25,5.3193476e-26,2.4817842e-22,2.9046416e-13,2.6279407e-25,2.5299615e-29,8.140349e-21,7.051183e-19,1.05624485e-26,4.6004357e-20,6.727035e-17,6.9476425e-11,4.6684395e-15,5.346132e-21,7.135126e-24,5.7032636e-24,1.4540459e-18,3.1962246e-26,6.992781e-21,6.523662e-28,6.19957e-19,3.0085547e-22,1.858159e-24,3.2207604e-21,5.759274e-17,3.2561735e-24,6.76933e-17,3.1159263e-18,8.502131e-21,3.038269e-19,6.399673e-15,6.90989e-21,9.970003e-20,2.1951566e-18,2.766571e-15,2.8987413e-17,1.0,5.8504237e-22,1.8716167e-26,4.037089e-21,8.428229e-25,1.6612585e-16,7.3284816e-14,1.8055512e-23,1.1942492e-21,1.4873118e-27,1.5298693e-15,7.160624e-23,3.2553504e-26,1.0294198e-23,2.9328877e-25
28,2.0223437e-08,2.4498948e-11,2.366415e-13,6.023345e-10,7.3987315e-17,9.168509e-17,1.1390402e-10,1.8859692e-09,0.99999356,2.9486435e-16,1.3807163e-15,2.0207031e-17,2.9113359e-08,3.9096436e-23,2.6673948e-13,1.95654e-16,1.11673205e-14,3.9637174e-13,2.4841992e-17,3.8942956e-09,1.0524035e-14,1.01690065e-22,7.4662204e-22,3.0907274e-25,1.423711e-19,1.589171e-22,1.0954449e-12,1.6253039e-25,1.2708998e-21,8.013434e-25,4.9737317e-20,2.4083645e-18,8.511284e-15,3.2355652e-14,4.450593e-19,5.41979e-15,4.3509417e-21,2.00716e-16,5.123578e-19,5.5088334e-16,3.3462272e-15,4.323082e-13,2.913535e-16,1.837842e-19,5.4677806e-15,5.6571153e-17,3.080837e-19,1.5908143e-15,1.7802348e-15,5.5068657e-21,4.1317785e-19,7.119973e-21,1.3489462e-18,3.6920043e-21,1.7087246e-18,2.0105394e-16,3.8034366e-21,5.2206645e-20,2.5903547e-15,1.28552725e-14,6.848535e-16,2.0389186e-21,4.3697164e-23,6.024352e-19,3.6943994e-21,1.7649292e-19,1.755963e-20,4.177348e-24,3.4784738e-17,8.355641e-16,7.965176e-21,8.284642e-16,1.6619038e-20,7.829034e-16,1.9135045e-19,8.909547e-15,1.1827999e-18,2.1028908e-17,9.586009e-15,7.548443e-21,1.6516613e-17,1.0842898e-17,4.9819197e-11,1.7593208e-14,1.6264745e-12,2.7885446e-11,3.3672107e-17,2.635969e-15,9.362861e-26,9.008971e-14,3.0801431e-12,6.3598563e-18,7.066625e-18,7.6066056e-20,6.439437e-06,1.6577075e-18,4.1331374e-25,1.2863518e-21,1.4524145e-15
